country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,36.7,47.7,62.3,88,117,161,180,198,235,275,429,400,447,469,484,510,517,557,583,605,631,634,884,939,873,656,374,3250,3190,2810,854,869,906,928,957,1020,1060,1080,1070,1100,1110,1170,1250,1290,1390,1440,1420,1640,1770,1960,1960,2110,2330,2050,2500,2460,2300,2560,2660
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,139,176,187,187,128,220,220,209,224,180,187,253,209,308,304,275,499,638,572,499,396,689,678,693,590,620,642,631,660,590,543,502,598,627,708,799,931,854,1050,1460,1520,1710,1770,1620,1830,1950,2000,2170,2430,2690,2860,2890,3060,3090,3300,3630,3690,3770,3710,3920,3920,3970,4070,4210,4210,4350,4740,4860
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,579,532,539,495,579,689,737,755,1000,1310,1430,1560,1720,1710,1920,2270,3770,3700,4160,8410,8640,11800,10200,14300,17200,26200,30700,41100,76300,90400,85600,72100,67900,57100,44700,31800,24100,22200,20400,16800,16200,16800,18900,21400,22000,24900,24300,22700,23200,22600,19000,19100,20100,22600,25600,29400,30500,29000,30500,34900,37200,36700,36300,39700,42200,49300,54100,58300,63100,65300,63800,66300,74300,75200,80900,90100,94000,102000,114000,126000,132000,144000,155000,164000,184000,193000,222000,241000,268000,284000,304000,278000,277000,288000,294000,306000,306000,361000,317000,330000,333000,338000,352000,332000,346000,369000,389000,391000,396000,411000,412000,438000,439000,464000,477000,480000,493000,476000,464000,485000,497000,491000,482000,482000,486000,493000,478000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,103,106,106,110,117,110,125,169,143,143,143,121,121,132,110,147,103,117,125,136,136,143,143,147,151
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,0.138,0.092,0.115,0.15,0.185,0.221,0.256,0.291,0.326,0.361,0.396,0.432,0.467,0.502,0.537,0.572,0.608,0.643,0.678,0.713,1,1.29,1.58,1.87,2.16,2.45,2.75,3.04,3.22,4.26,5.41,4.88,5.11,5.73,5.48,17.3,19.9,16.5,22.4,24.3,32.8,33.7,31.6,38.4,44.2,54.9,56,73.2,75.1,88.1,92.8,97.7,111,113,123,126,133,139,150,170,188,198,233,237,272,277,320,359,417,472,485,468,458,510,455,519,581,585,617,605,628,711,772,697,640,682,628,250,214,195,211,258,285,339,335,485,603,670,722,981,1180,1330,1480,1800,2030,2330,2380,2520,2550,3050,2680,1850,2360,2210,2340,2630,3160,3360,3820,4260,4620,4950,5230,5720,6480,7110,7780,8300,10600,11000,11400,12000,12900,13700,14500,15300,16100,16500,17200,18100,19200,20200,21100,21900,23100,23900,24800,25600,25800,26800,26300,26800,27200,27500,29600,29700,29600,30300,29700,27800,22400,21000,15900,12400,11400,11700,7310,6450,4690,3580,3790,4060,4410,4620,4940,5030,4980,5190,4540,4830,4950,4770,4900,4740,4790,4900,4810,5130
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,293,301,304,488,590,689,763,1140,1350,1290,1390,1970,1600,2050,1960,1950,2130,2480,2680,2850,3030,3280,3470,3740,4060,4390,4960,5770,6280,6860,6620,6720,6970,6430,9010,9600,10500,11500,10500,9900,12100,11000,9270,7930,7910,8030,7690,7690,7540,7490,7880,8270,8010,8580,8580,9410,12100,12000,13100,13800,21400,35100,43600,29600,23300,25300,26400,28100
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,518,542,557,619,702,722,715,722,773,801,1050,1130,1060,1260,1270,1320,1370,1330,1490,1620,1590,1730,1590,1710,1800,1840,1920,1880,1940,1930,1920,1360,1480,1290,1260,1330,1550,1670,1760,1210,1520,1670,1770,1890,2040,1750,2060,2060,2610,1680,2420,2410,2210,2150,2110,2240,2020,2030,2010
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,40.3,91.7,150,176,191,235,213,370,466,319,396,389,330,356,422,524,686,832,942,1090,2560,2930,3570,4180,3590,3560,3520,3060,3270,3370,3640,3770,3080,3960,4420,4260,5460,5410,5620,5820,7290,8200,8040,9630,11100,11100,11500,12700,13100,15900,15900,15800,17000,17800,17800,17800,18900,20100,21200,22900,23100,24300,25600,27600,29000,29600,30400,31100,31300,32400,33600,37500,38100,37500,43400,45600,47400,50300,52900,52600,56200,56800,59100,58800,59700,61100,61100,63700,66400
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,22,11,11,11,62.3,51.3,66,47.7,51.3,58.7,40.3,66,66,58.7,29.3,51.3,55,47.7,55,58.7,44,58.7,902,931,1070,1080,1140,1380,1550,1770,1820,1800,1880,2630,1990,1660,2140,2000,2130,1870,2780,3240,2980,3610,3300,3560,3150,2880,2560,2710,2870,2640,3200,2480,2530,1960,1510,1140,978,978,1010,1040,1020,1020,1000,1080,1060,1110,1090,1170,1110,1170,1320,1560,1540,1860,1870,1770,1920,2190,2180,2440,2640,3110,2980,4060,8270,6310,7730,8020,8290
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3050,3090,2940,2980,3000,3070,3030,3110,3220,3090,3230,3180,3190,1030,411,308,297,7.33,25.7,154,103,803,917,1130,1310,1460,1420,1660,2100,2410,2780,2720,2590,2880,2640,2860,2730,2810,3620,2930,3220,4620,5100,4900,4110,4670,4590,4900,5170,5150,5090,5510,5630,5580,5760,6550,6680,6760,4950,4090,4430,4240,4140,4850,5310,6200,6910,7210,7450,8040,8940,10100,8690,9160,9790,12400,11500,12800,12800,9730,10200,13100,15100,11900,13000,16200,22200,25000,25400,26400
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1150,1390,1570,1620,1720,1770,1820,1660,1640,2020,1760,1870,1960,2310,2330,2360,3330,3070,3100,2770,3370,2600,3710,3960,4200,4230,4280
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,33,47.7,47.7,66,66,88,77,84.3,99,103,103,114,114,114,125,125,125,125,125,125,161,158,158,158,125,125,121,114,110,106,103,103,99,91.7,84.3,80.7,77,66,66,62.3,44,44,44,40.3,44,40.3,40.3,44,47.7,47.7,47.7,48.9,50.3
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,29.3,29.3,36.7,40.3,44,47.7,55,58.7,66,80.7,80.7,88,99,150,180,191,213,253,400,227,198,268,422,425,352,282,337,329,513,542,454,443,493,702,677,698,861,977,894,767,1070,1290,1470,1700,2410,2460,2760,2230,3190,3040,3240,2600,2810,2640,3050,2530,2580,3390,4190,4900,5280,5530,6290,7670,6020,8850,9110,9460
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,3870,3650,3330,3140,3120,3770,4170,5950,4650,4730,4220,3710,3530,4800,4410,5680,4090,3410,3850,4220,4040,4240,4370,4950,4980,5340,5140,4750,5420,6220,6310,6690,7220,7980,8030,8140,9020,9020,9430,9630,9790,10900,10600,10300,11900,11300,11500,11600,11600,12500,13100,12900,13300,14600,14300,14300,15300,16200,16600,18100,18600,18900,19900,20900,22100,24900,27600,25800,24600,22400,8660,14500,22000,22200,23300,27300,27200,30600,33600,34400,38000,38000,41300,40800,45000,41500,38600,38700,37300,39900,44000,43300,40700,33500,37200,34600,35000,23400,14700,31100,44600,47300,50500,51300,55000,54800,55300,58400,61000,65100,64500,66800,67200,73500,75900,83400,91200,96900,100000,104000,107000,114000,116000,142000,141000,158000,165000,160000,153000,169000,164000,170000,187000,177000,164000,134000,137000,144000,147000,144000,152000,146000,162000,163000,171000,171000,171000,172000,173000,183000,175000,177000,171000,172000,177000,177000,180000,182000,178000,173000,173000,176000,170000,182000,169000,166000,166000,159000,167000,167000,165000,162000
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,506,656,737,829,928,1060,1130,1180,1240,1360,1310,1420,1490,1500,1540,1610,1620,1770,1880,2020,2180,2440,2740,3040,3170,3440,3540,3870,4090,4150,4270,4910,4610,4870,4220,5090,4940,5040,4620,4550,4130,3560,3500,3560,3840,3990,4090,4280,4500,4720,4900,4870,4240,3540,3550,3990,4150,4180,4390,4250,4470,4760,5010,5100,5380,5470,5630,5540,5460,5510,5610,8580,8180,9330,8560,9080,9400,9680,10300,10200,10300,11500,11800,11200,12200,13100,13700,14000,13600,13500,14300,14200,15100,16200,18200,18800,18300,19300,20300,18000,16500,17500,16600,18300,18000,19400,21900,23000,24200,25500,25500,25500,26100,28100,27700,27900,28000,29300,31300,29900,31500,32300,34500,34700,36400,36000,37600,37500,36600,37600,34800,35000,34300,36000,35300,35700,35900,34300,36100,34800
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.33,3.67,7.33,3.67,7.33,7.33,7.33,191,202,275,286,315,392,378,418,601,480,532,561,660,843,950,781,960,1080,1230,1290,1400,1510,1610,1830,1950,1930,2220,2840,2630,1710,2020,2140,2110,2000,1850,1990,2260,2430,2240,1470,2050,1990,2380,2290,2520,2760,2850,3120,3390,3600,3720,3930,3990,4340,4380,4270,4420,4550,4370,4450,4470,4810,4550,4350,4600,5250,5510,5500,5580
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,22,29.3,55,66,88,95.3,91.7,136,132,161,191,216,231,253,330,290,334,333,366,417,479,571,684,746,963,992,995,900,998,988,1040,603,570,529,602,580,562,643,646,698,683,693,652,695,754,809,709,687,717,804,963,1170,1320,1760,1890,2050,2020,2010,2230,2320
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,66,224,400,370,488,572,304,473,543,645,876,968,968,931,939,884,678,634,700,697,788,979,975,821,836,990,1240,1360,1660,1380,1640,1560,1640,1490,2260,1690,2180,2440,2570,2700,3010,3190,3730,3570,3410,4110,4180,5350,7270,11800,12900,12800,6630,12100,21500,32300,41400,49600,62300,47400,55200,50500,48300,70200,68100,65900,65400,59800,69500,69700,73300,59100,70500,42200,38900,42000,46300,44900,35000,33400,36800,41000,37800,39600,78900,86800,94400,100000,98800,106000,97900,94300,94800,74900,113000,130000,117000,122000,128000,114000,118000,123000,127000
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,73.3,73.3,1400,1780,781,997,891,1740,4790,7350,8970,11300,15700,19900,23800,26400,30700,32900,35600,44300,47600,52400,59300,64100,73500,108000,89600,97400,102000,108000,110000,114000,108000,110000,114000,114000,117000,125000,135000,144000,157000,176000,201000,213000,123000,117000,103000,94900,86800,81300,71700,65200,58800,64200,69200,71700,68700,70200,71800,75000,76200,63500,70400,53600,50100,36200,37600,27000,30600,24600,27500,28600,30200
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,3850,4040,4140,4610,5220,5370,5320,5380,5750,5960,7790,8400,7870,9400,9440,9850,10200,9890,11100,12000,11800,12900,11800,12700,13400,13700,14300,14000,14400,14400,14300,10100,11000,10200,10300,10700,11700,10600,12600,11700,12100,12000,10900,11300,11200,11300,10900,9490,9400,8700,8600,9310,8820,7860,7540,7100,7050,7360,7270
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.33,3.67,6.42,9.17,11.9,14.7,18.3,25.7,51.3,40.3,44,58.7,73.3,62.3,66,99,99,103,132,106,139,150,150,165,235,257,304,304,268,326,334,429,370,363,480,473,521,620,634,554,631,612,656,660,818,1030,906,1220,1090,1140,1250,1290,1420,1530,1560,1790,1750,1680,1950,2220,2080,2420,2470,2460,2910,3060,3130,3390,3390,4050,4160,3900,4250,4240,4160,4150,4230,4790,5720,5770,5940,6080,6880,6920,7720,8460,7900,3500,4460,5300,5310,3380,6490,6800,7730,7600,6370,8540,8460,9530,8730,8090,8650,9190,9490,9790,10500,11800,10500,12500,6520,4820,4630,5450,4880,4020,7080,10600,11000,10400,8440,9490,9700,9790,9890,11400,12000,11400,11200,11800,13100,13300,14100,15000,16200,16400,19600,19300,21100,22200,28000,27200,29400,30500,27700,30700,33400,33400,32700,34800,31900,32000,31100,32100,34000,32500,35100,33500,35900,34500,35400,33800,34800,36300,38100,38700,41900,42000,42200,43000,42600,43900,43000,44400,44700,44000,44500,46300,45400,43900,46300,45500,45100,45000,44900,45300,44500,43700,44400
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,29.3,136,161,235,235,2090,2090,2110,2340,7260,8330,8510,7800,7720,6050,6020,5740,7530,8060,8630,9830,9410,10500,9990,11200,11600,11900,13200,15100,15700,14900,15300,16300,20600,21600,20100,25300,32100,27600,29500,39100,43700,42100,40500,46800,53300,58700,61200,60500,64600,62700,63700,67300
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,656,724,1030,5360,6620,6990,7120,7230,7450,8820,9120,10200,9930,11900,12400,13600,15600,16100,16800,17100,18200,20900,20200,20500,19500,18900,20000,21400,23200,22800,24300,26100,28200,32000,34300,37200,40100,42600,46900,49100,53000,57700,60400,67900,67500,72100,77200,84100,83700,93600,93900,96800,99500,106000,107000,113000,118000,130000,135000,144000,156000,155000,155000,166000,168000,166000,171000,179000,185000,197000,212000,224000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,198,198,198,198,198,198,198,209,216,213,213,216,220,227,253,205,198,209,216,216,220,224,224,224,230,236
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,884,917,935,968,946,1040,865,1460,1370,1660,1350,1160,1280,2200,2740,2270,2320,2050,2090,2040,2250,2200,2440,2840,3010,3230,3190,3210
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,25.7,517,554,719,715,634,711,634,763,928,993,997,1100,1190,1180,1240,1530,1660,1700,2020,2050,2200,2600,2800,3240,3020,3660,3610,3460,2840,3180,3110,3330,3280,3480,2870,2620,2740,3180,2920,2510,2750,3220,4230,3900,4300,2940,4580,5600,5890,5610,5720,6950,5810,6080,5720,6750,7370,7200,7320,8430,9080,9960,9780,11400,10900,10900,10500,10400,10900
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,62.3,84.3,95.3,95.3,128,128,147,147,161,180,202,198,257,268,304,341,436,502,557,693,825,1270,1350,1590,1530,1570,1580,1680,1800,1830,1930,1950,2010,2050,2130,2060,2340,2200,2040,2160,2170,2190,2190,2180,2060,2190,2580,2860,2450,2670,3210,3490,3950,4490,4390,4310,6120,4800,5090,4660,5230,4980,5160,5780,7380,7440,7590,7840
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,47.7,103,121,183,191,198,213,242,304,304,363,392,411,433,550,513,488,590,521,744,634,714,868,952,837,1030,1150,1460,1330,1490,1380,1360,1410,1490,1550,1660,1880,2150,2230,2140,2110,2580,2920,3410,3940,3720,4130,4390,4380,3610,3700,3860,4030,4060,3780,3910,4040,4280,4540,5030,5200,5180,5180,5460,6060,7160,7180,7440
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,7.33,7.33,7.33,11,47.7,66,47.7,40.3,40.3,40.3,40.3,88,161,246,238,99,213,279,352,429,799,1210,1510,1330,1510,1460,1570,1540,1890,1970,2010,1950,1980,2150,2450,2960,2980,3620,4790,4740,4690,5380,7090,5630,4500,4110,6670,6750,7170,7410,8810,8010,5860,5300,5250,6050,6580,6460,6270,5770,5910,6390,6640,4550,4780,5190,5520,6240,6130,6320,6680,7380,7220,8170,8640,9970,10200,12300,12000,13300,13700,14500,15300,17800,18600,18200,19700,21400,22000,22400,23300,22400,22200,24100,24000,23600,20400,20600,19500,21800,25700,25000,21700,21000,20200,20300,23500,23100,23700,24200,27300,27600,29200,30100,27000,27000,26100,31600,36800,28300,34600,40700,51200,57200,49000,54200,45700,50200,51600,56400,52700,55600
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,18.3,55,51.3,36.7,3.67,7.33,18.3,55,51.3,11,29.3,58.7,103,69.7,77,77,84.3,84.3,51.3,40.3,80.7,69.7,88,80.7,88,77,88,99,121,121,158,84.3,114,91.7,72.4,53.2,34,14.7,114,198,216,319,3610,3560,4060,4040,5340,6620,6260,6740,7570,7230,8330,8720,10300,11500,12800,14000,16100,18200,22200,22800,24800,27600,26400,31500,30500,32500,35100,36700,37400,38100,36900,34600,34900,35300,30900,27900,29000,32500,37500,38900,41400,43500,48300,49000,54200,60000,61300,70100,68300,68200,72400,70400,70200,70300,72800,73300,66600,70800,77400,76600,83000,83800,88500,95900,102000,114000,119000,131000,135000
